published_utc,title,url,source,lang,company,ticker,event_type,confidence
20260707T061500Z,Samsung says memory chip demand will drive 19 - fold jump in operating profit,https://siliconangle.com/2026/07/06/samsung-says-memory-chip-demand-will-drive-19-fold-jump-operating-profit/,,English,Apple Inc,AAPL,unknown,0.9
20260706T131500Z,How Investors Can Drive Child Safety At Apple And Alphabet,https://www.forbes.com/sites/bhaktimirchandani/2026/07/06/how-investors-can-increase-child-safety-at-apple-and-alphabet/,,English,Apple Inc,AAPL,unknown,0.9
20260706T041500Z,More than a market -- Beijing Review,http://www.bjreview.com.cn/Business/202607/t20260701_800440936.html,,English,Apple Inc,AAPL,unknown,0.9
20260707T111500Z,MSFT Investment Deadline : Microsoft Securities Fraud Class Action Focuses on Copilot Functionality Issues ; Investors Notified of August 11 Court Deadline,https://www.prnewswire.com/news-releases/msft-investment-deadline-microsoft-securities-fraud-class-action-focuses-on-copilot-functionality-issues-investors-notified-of-august-11-court-deadline-302819038.html,,English,Microsoft Corporation,MSFT,unknown,0.9
20260707T053000Z,MSFT ALERT : Securities Fraud Class Action Launched Against Microsoft ... ,https://www.pr-inside.com/msft-alert-securities-fraud-class-action-launched-against-microsoft-r5198445.htm,,English,Microsoft Corporation,MSFT,unknown,0.9
20260707T040000Z,"2026 - 07 - 06 | ROSEN , LEADING TRIAL COUNSEL , Encourages Microsoft Investors to Secure Counsel Before Important Deadline in Securities Class Action - MSFT | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/07/06/rosen-leading-trial-counsel-encourages-microsoft-investors-to-secure-counsel,,English,Microsoft Corporation,MSFT,unknown,0.9
20260707T030000Z,MSFT LAWSUIT ALERT : Levi & Korsinsky Notifies Microsoft Corporation ... ,https://www.pr-inside.com/msft-lawsuit-alert-levi-korsinsky-notifies-microsoft-corporation-r5198377.htm,,English,Microsoft Corporation,MSFT,negative,0.9
20260707T030000Z,Trump administration asks Texas for help providing legal services to immigrant kids facing deportation,https://www.kwbu.org/news-from-across-texas/2026-07-06/trump-administration-asks-texas-for-help-providing-legal-services-to-immigrant-kids-facing-deportation,,English,Microsoft Corporation,MSFT,unknown,0.9
20260706T184500Z,Trump administration asks Texas for help providing legal services to immigrant kids facing deportation,https://www.ketr.org/stories-from-texas-stations/2026-07-06/trump-administration-asks-texas-for-help-providing-legal-services-to-immigrant-kids-facing-deportation,,English,Microsoft Corporation,MSFT,unknown,0.9
20260706T163000Z,Trump administration asks Texas for help providing legal services to immigrant kids facing deportation – Houston Public Media,https://www.houstonpublicmedia.org/articles/news/politics/immigration/2026/07/06/556262/trump-administration-asks-texas-for-help-providing-legal-services-to-immigrant-kids-facing-deportation/,,English,Microsoft Corporation,MSFT,unknown,0.9
20260706T121500Z,"Trump administration asks Texas for help providing legal services to immigrant kids facing deportation – KTBB News , Weather , Talk",https://ktbb.com/post/?p=1521370,,English,Microsoft Corporation,MSFT,unknown,0.9
20260705T014500Z,"2026 - 07 - 04 | Shareholders of Microsoft Corporation ( MSFT ): Protect Your Rights Before August 11 , 2026 - Contact Levi & Korsinsky | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/07/04/shareholders-of-microsoft-corporation-msft-protect-your-rights-before-august-11,,English,Microsoft Corporation,MSFT,unknown,0.9
20260705T014500Z,2026 - 07 - 04 | Pomerantz LLP Highlights Class Action Against Microsoft Corporation - MSFT | TSX : MSFT,https://stockhouse.com/news/press-releases/2026/07/04/pomerantz-llp-highlights-class-action-against-microsoft-corporation-msft,,English,Microsoft Corporation,MSFT,unknown,0.9
20260707T113000Z,Tesla Logo Hidden Meaning Revealed as Elon Musk Fans Spot Detail Behind Famous  T  ,https://www.ibtimes.co.uk/hidden-meaning-tesla-t-logo-1806764,,English,Tesla,TSLA,unknown,0.9
20260707T111500Z,ZG Investment Deadline : Zillow Securities Fraud Class Action Focuses on Anticompetitive Agreement ; Investors Notified of August 10 Court Deadline,https://www.prnewswire.com/news-releases/zg-investment-deadline-zillow-securities-fraud-class-action-focuses-on-anticompetitive-agreement-investors-notified-of-august-10-court-deadline-302819040.html,,English,Tesla,TSLA,unknown,0.9
20260707T111500Z,SpaceX to join Nasdaq 100 index | The Arkansas Democrat - Gazette - Arkansa Best News Source,https://www.arkansasonline.com/news/2026/jul/07/spacex-to-join-nasdaq-100-index/,,English,Tesla,TSLA,unknown,0.9
20260707T111500Z,"GRAL Investment Deadline : GRAIL , Inc . Securities Fraud Class Action Focuses on Trial Results ; Investors Notified of August 4 Court Deadline",https://www.prnewswire.com/news-releases/gral-investment-deadline-grail-inc-securities-fraud-class-action-focuses-on-trial-results-investors-notified-of-august-4-court-deadline-302819049.html,,English,Tesla,TSLA,unknown,0.9
20260707T111500Z,EMBC Investment Deadline : Embecta Securities Fraud Class Action Focuses on Insulin Pen Issues ; Investors Notified of August 17 Court Deadline,https://www.prnewswire.com/news-releases/embc-investment-deadline-embecta-securities-fraud-class-action-focuses-on-insulin-pen-issues-investors-notified-of-august-17-court-deadline-302819045.html,,English,Tesla,TSLA,unknown,0.9
20260707T111500Z,HUBG Investment Deadline : Hub Group Securities Fraud Class Action Focuses on Financial Restatements ; Investors Notified of August 28 Court Deadline,https://www.prnewswire.com/news-releases/hubg-investment-deadline-hub-group-securities-fraud-class-action-focuses-on-financial-restatements-investors-notified-of-august-28-court-deadline-302819030.html,,English,Tesla,TSLA,unknown,0.9
20260707T111500Z,GTM Investment Deadline : ZoomInfo Securities Fraud Class Action Focuses on AI Integration Issues ; Investors Notified of August 24 Court Deadline,https://www.prnewswire.com/news-releases/gtm-investment-deadline-zoominfo-securities-fraud-class-action-focuses-on-ai-integration-issues-investors-notified-of-august-24-court-deadline-302819042.html,,English,Tesla,TSLA,unknown,0.9
