,AAPL,AMZN,GOOGL,MSFT,TSLA
2024-04-29,171.7769775390625,180.9600067138672,164.78802490234375,395.3131103515625,194.0500030517578
2024-04-30,168.63845825195312,175.0,161.44564819335938,382.61590576171875,183.27999877929688
2024-05-01,167.6186981201172,179.0,162.5167999267578,388.12921142578125,179.99000549316406
2024-05-02,171.31166076660156,184.72000122070312,165.25416564941406,390.97918701171875,180.00999450683594
2024-05-03,181.5588836669922,186.2100067138672,165.8690948486328,399.6470642089844,181.19000244140625
2024-05-06,179.9054412841797,188.6999969482422,166.7220458984375,406.4084167480469,184.75999450683594
2024-05-07,180.58859252929688,188.75999450683594,169.84622192382812,402.2808532714844,177.80999755859375
2024-05-08,180.9252166748047,188.0,167.99156188964844,403.46014404296875,174.72000122070312
2024-05-09,182.737060546875,189.5,168.56678771972656,405.20947265625,171.97000122070312
2024-05-10,181.4779510498047,187.47999572753906,167.26754760742188,407.5877380371094,168.47000122070312
2024-05-13,184.68020629882812,186.57000732421875,167.7535400390625,406.5852966308594,171.88999938964844
2024-05-14,185.82034301757812,187.07000732421875,168.9436798095703,409.3763427734375,177.5500030517578
2024-05-15,188.09068298339844,185.99000549316406,171.09588623046875,416.5338134765625,173.99000549316406
2024-05-16,188.20962524414062,183.6300048828125,172.75218200683594,414.4761657714844,174.83999633789062
2024-05-17,188.23936462402344,184.6999969482422,174.61679077148438,413.708251953125,177.4600067138672
2024-05-20,189.39932250976562,183.5399932861328,175.46975708007812,418.7589111328125,174.9499969482422
2024-05-21,190.69810485839844,183.14999389648438,176.39210510253906,422.4017028808594,186.60000610351562
2024-05-22,189.26052856445312,183.1300048828125,174.93418884277344,423.85870361328125,180.11000061035156
2024-05-23,185.27505493164062,181.0500030517578,172.12738037109375,420.3931579589844,173.74000549316406
2024-05-24,188.3484344482422,180.75,173.55557250976562,423.5043029785156,179.24000549316406
2024-05-28,188.35838317871094,182.14999389648438,174.95401000976562,423.6618347167969,176.75
2024-05-29,188.65577697753906,182.02000427246094,174.45809936523438,422.5296325683594,176.19000244140625
2024-05-30,189.647216796875,179.32000732421875,170.6991729736328,408.25396728515625,178.7899932861328
2024-05-31,190.5989532470703,176.44000244140625,171.0859832763672,408.70684814453125,178.0800018310547
2024-06-03,192.3636474609375,178.33999633789062,171.75047302246094,407.12176513671875,176.2899932861328
2024-06-04,192.68089294433594,179.33999633789062,172.3654022216797,409.6322937011719,174.77000427246094
2024-06-05,194.18785095214844,181.27999877929688,173.97213745117188,417.449462890625,175.0
2024-06-06,192.80978393554688,185.0,175.2812957763672,417.95159912109375,177.94000244140625
2024-06-07,195.1990966796875,184.3000030517578,173.02992248535156,417.2919616699219,177.47999572753906
2024-06-10,191.4614715576172,187.05999755859375,173.7745819091797,421.2497253417969,173.7899932861328
2024-06-11,205.3709716796875,187.22999572753906,175.3732452392578,425.9853515625,170.66000366210938
2024-06-12,211.24014282226562,186.88999938964844,176.53497314453125,434.2356262207031,177.2899932861328
2024-06-13,212.4001007080078,183.8300018310547,173.92355346679688,434.7475891113281,182.47000122070312
2024-06-14,210.66513061523438,183.66000366210938,175.54205322265625,435.7222900390625,178.00999450683594
2024-06-17,214.8092498779297,184.05999755859375,175.98887634277344,441.4325256347656,187.44000244140625
2024-06-18,212.44964599609375,182.80999755859375,173.85403442382812,439.4339904785156,184.86000061035156
2024-06-20,207.87924194335938,186.10000610351562,175.0554962158203,438.8038635253906,181.57000732421875
2024-06-21,205.70806884765625,189.0800018310547,178.3620147705078,442.82073974609375,183.00999450683594
2024-06-24,206.3524627685547,185.57000732421875,177.9548797607422,440.7434387207031,182.5800018310547
2024-06-25,207.2744903564453,186.33999633789062,182.73092651367188,443.97265625,187.35000610351562
2024-06-26,211.41860961914062,193.61000061035156,182.58200073242188,445.1639099121094,196.3699951171875
2024-06-27,212.26132202148438,197.85000610351562,184.1011962890625,445.84326171875,197.4199981689453
2024-06-28,208.8112030029297,193.25,180.86419677734375,440.0345153808594,197.8800048828125
2024-07-01,214.8885498046875,197.1999969482422,181.6982879638672,449.6631774902344,209.86000061035156
2024-07-02,218.37831115722656,200.0,183.93240356445312,452.1737365722656,231.25999450683594
2024-07-03,219.6472930908203,197.58999633789062,184.50830078125,453.6407165527344,246.38999938964844
2024-07-05,224.39617919921875,200.0,189.2545623779297,460.3256530761719,251.52000427246094
2024-07-08,225.86349487304688,199.2899932861328,187.6956329345703,459.0260314941406,252.94000244140625
2024-07-09,226.71607971191406,199.33999633789062,187.64599609375,452.4297180175781,262.3299865722656
2024-07-10,230.9791717529297,199.7899932861328,189.83045959472656,459.0358581542969,263.260009765625
2024-07-11,225.61563110351562,195.0500030517578,184.2600860595703,447.6646728515625,241.02999877929688
2024-07-12,228.5601043701172,194.49000549316406,183.76361083984375,446.5323791503906,248.22999572753906
2024-07-15,232.386962890625,192.72000122070312,185.21328735351562,446.9360046386719,252.63999938964844
2024-07-16,232.80335998535156,193.02000427246094,182.62171936035156,442.56475830078125,256.55999755859375
2024-07-17,226.91436767578125,187.92999267578125,179.74220275878906,436.6575927734375,248.5
2024-07-18,222.25473022460938,183.75,176.43568420410156,433.5563049316406,249.22999572753906
2024-07-19,222.38363647460938,183.1300048828125,176.40591430664062,430.3468017578125,239.1999969482422
2024-07-22,222.03662109375,182.5500030517578,180.38758850097656,436.0865783691406,251.50999450683594
2024-07-23,223.07760620117188,186.41000366210938,180.50674438476562,437.9670104980469,246.3800048828125
2024-07-24,216.6631622314453,180.8300018310547,171.4114227294922,422.2637939453125,215.99000549316406
2024-07-25,215.62217712402344,179.85000610351562,166.09918212890625,411.92626953125,220.25
2024-07-26,216.08815002441406,182.5,165.82115173339844,418.68994140625,219.8000030517578
2024-07-29,216.36572265625,183.1999969482422,168.3332977294922,420.1274108886719,232.10000610351562
2024-07-30,216.9209442138672,181.7100067138672,169.08792114257812,416.37640380859375,222.6199951171875
2024-07-31,220.17274475097656,186.97999572753906,170.3291015625,411.8770446777344,232.07000732421875
2024-08-01,216.48472595214844,184.07000732421875,169.5546112060547,410.65618896484375,216.86000061035156
2024-08-02,217.97181701660156,167.89999389648438,165.4835662841797,402.1695861816406,207.6699981689453
2024-08-05,207.47276306152344,161.02000427246094,158.12586975097656,389.0360107421875,198.8800048828125
2024-08-06,205.4502716064453,161.92999267578125,157.17263793945312,393.4269714355469,200.63999938964844
2024-08-07,208.01808166503906,162.77000427246094,157.8180389404297,392.2652282714844,191.75999450683594
2024-08-08,211.4780731201172,165.8000030517578,160.88623046875,396.4593505859375,198.83999633789062
2024-08-09,214.38291931152344,166.94000244140625,162.51466369628906,399.7378234863281,200.0
2024-08-12,215.91146850585938,166.8000030517578,161.14439392089844,400.5155944824219,197.49000549316406
2024-08-13,219.62364196777344,170.22999572753906,163.00120544433594,407.604248046875,207.8300018310547
2024-08-14,220.07029724121094,170.10000610351562,159.2379608154297,410.4100646972656,201.3800048828125
2024-08-15,223.0479736328125,177.58999633789062,160.16136169433594,415.2626647949219,214.13999938964844
2024-08-16,224.3680877685547,177.05999755859375,161.80967712402344,412.7377624511719,216.1199951171875
2024-08-19,224.20924377441406,178.22000122070312,165.4934844970703,415.7558288574219,222.72000122070312
2024-08-20,224.82464599609375,178.8800048828125,165.99989318847656,418.9810791015625,221.10000610351562
2024-08-21,224.71548461914062,180.11000061035156,164.6792755126953,418.33013916015625,223.27000427246094
2024-08-22,222.859375,176.1300048828125,162.64373779296875,409.8577575683594,210.66000366210938
2024-08-23,225.15219116210938,177.0399932861328,164.4508819580078,411.0807800292969,220.32000732421875
2024-08-26,225.48968505859375,175.5,164.98707580566406,407.82598876953125,213.2100067138672
2024-08-27,226.33334350585938,173.1199951171875,163.5175018310547,408.17120361328125,209.2100067138672
2024-08-28,224.80479431152344,170.8000030517578,161.70045471191406,404.9755859375,205.75
2024-08-29,228.08023071289062,172.1199951171875,160.6379852294922,407.4610900878906,206.27999877929688
2024-08-30,227.29612731933594,178.5,162.2267303466797,411.426025390625,214.11000061035156
2024-09-03,221.1125030517578,176.25,156.24920654296875,403.83148193359375,210.60000610351562
2024-09-04,219.20675659179688,173.3300018310547,155.34561157226562,403.2988586425781,219.41000366210938
2024-09-05,220.72540283203125,177.88999938964844,156.13003540039062,402.7958679199219,230.1699981689453
2024-09-06,219.17698669433594,171.38999938964844,149.85467529296875,396.1974792480469,210.72999572753906
2024-09-09,219.26632690429688,175.39999389648438,147.85621643066406,400.16241455078125,216.27000427246094
2024-09-10,218.47225952148438,179.5500030517578,147.80650329589844,408.5262756347656,226.1699981689453
2024-09-11,221.00331115722656,184.52000427246094,150.29214477539062,417.2451477050781,228.1300048828125
2024-09-12,221.1125030517578,187.0,153.8018798828125,421.1509094238281,229.80999755859375
2024-09-13,220.844482421875,186.49000549316406,156.55596923828125,424.69171142578125,230.2899932861328
2024-09-16,214.71047973632812,184.88999938964844,157.1525115966797,425.43145751953125,226.77999877929688
2024-09-17,215.1769561767578,186.8800048828125,158.40528869628906,429.1893005371094,227.8699951171875
2024-09-18,219.04795837402344,186.42999267578125,158.89247131347656,424.9087219238281,227.1999969482422
2024-09-19,227.16708374023438,189.8699951171875,161.20909118652344,432.6807861328125,243.9199981689453
2024-09-20,226.5020751953125,191.60000610351562,162.65077209472656,429.3076171875,238.25
2024-09-23,224.78494262695312,193.8800048828125,160.9207763671875,427.57177734375,250.0
